lat_deg,lon_deg,alt_m
32.3974494,34.8949394,35.460
32.3974494,34.8949394,35.430
32.3974494,34.8949394,35.410
32.3974494,34.8949394,35.390
32.3974494,34.8949394,35.390
32.3974494,34.8949394,35.390
32.3974494,34.8949394,35.370
32.3974494,34.8949394,35.330
32.3974494,34.8949394,35.340
32.3974533,34.8949394,35.370
32.3974533,34.8949394,35.380
32.3974494,34.8949394,35.370
32.3974494,34.8949394,35.380
32.3974533,34.8949394,35.350
32.3974533,34.8949394,35.350
32.3974533,34.8949394,35.360
32.3974533,34.8949394,35.360
32.3974533,34.8949394,35.380
32.3974533,34.8949394,35.380
32.3974533,34.8949356,35.350
32.3974533,34.8949356,35.340
32.3974533,34.8949356,35.320
32.3974494,34.8949356,35.330
32.3974494,34.8949356,35.350
32.3974533,34.8949356,35.340
32.3974533,34.8949356,35.310
32.3974533,34.8949356,35.310
32.3974533,34.8949356,35.320
32.3974494,34.8949356,35.310
32.3974494,34.8949356,35.290
32.3974533,34.8949356,35.290
32.3974533,34.8949356,35.270
32.3974494,34.8949356,35.250
32.3974494,34.8949356,35.210
32.3974494,34.8949356,35.190
32.3974494,34.8949356,35.190
32.3974533,34.8949356,35.170
32.3974533,34.8949356,35.170
32.3974533,34.8949356,35.150
32.3974494,34.8949356,35.100
32.3974494,34.8949356,35.070
32.3974494,34.8949356,35.060
32.3974494,34.8949356,35.080
32.3974494,34.8949356,35.090
32.3974494,34.8949356,35.090
32.3974494,34.8949356,35.060
32.3974494,34.8949356,35.060
32.3974494,34.8949356,35.050
32.3974494,34.8949356,35.060
32.3974494,34.8949356,35.060
32.3974494,34.8949356,35.070
32.3974494,34.8949356,35.090
32.3974494,34.8949356,35.070
32.3974494,34.8949356,35.070
32.3974494,34.8949356,35.070
32.3974494,34.8949356,35.080
32.3974494,34.8949356,35.060
32.3974494,34.8949356,35.060
32.3974494,34.8949356,35.070
32.3974494,34.8949356,35.070
32.3974494,34.8949356,35.090
32.3974494,34.8949356,35.110
32.3974494,34.8949356,35.120
32.3974494,34.8949356,35.110
32.3974494,34.8949356,35.120
32.3974494,34.8949356,35.120
32.3974494,34.8949356,35.120
32.3974494,34.8949356,35.130
32.3974494,34.8949356,35.150
32.3974494,34.8949356,35.130
32.3974494,34.8949356,35.130
32.3974494,34.8949356,35.150
32.3974494,34.8949356,35.200
32.3974494,34.8949356,35.200
32.3974494,34.8949356,35.210
32.3974494,34.8949356,35.200
32.3974494,34.8949356,35.170
32.3974494,34.8949356,35.140
32.3974494,34.8949356,35.150
32.3974494,34.8949356,35.130
32.3974494,34.8949356,35.160
32.3974494,34.8949356,35.180
32.3974494,34.8949356,35.180
32.3974494,34.8949356,35.200
32.3974494,34.8949356,35.210
32.3974494,34.8949356,35.220
32.3974494,34.8949356,35.200
32.3974494,34.8949356,35.210
32.3974494,34.8949356,35.230
32.3974494,34.8949356,35.230
32.3974494,34.8949356,35.240
